theme,mouvement,count
science_progres,lumieres,360
morale_vertu,lumieres,1019
melancolie_spleen,romantisme,872
reve_spiritualite,romantisme,857
violence_sociale,naturalisme,813
corps_physiologie,naturalisme,1344
societe_politique,lumieres,2016
nature_paysage,romantisme,1884
raison_philosophie,lumieres,720
quotidien_objets,naturalisme,1492
amour_sentiments,romantisme,1072
travail_misere,naturalisme,1073
TOTAL_romantisme,romantisme,4685
TOTAL_naturalisme,naturalisme,4722
TOTAL_lumieres,lumieres,4115
